Year,Facility,City ,State ,Zip Code Region,Address,CO2 Emissions,CH4 Emissions,N2O Emissions,Category
2020,Ford,Claycomo,MO,64100,8121 NE Highway 69,66335.9,31.25,37.25,high emitter
2020,Ford,Louisville,KY,40200,3001 Chamberlain Lane,74042.2,35,41.72,high emitter
2020,Ford,Louisville,KY,40200,2000 Fern Valley Road,45889.7,21.5,25.63,low emitter
2020,Ford,Wayne,MI,48100,38303 Michigan Avenue,55858.4,26.25,31.59,high emitter
2020,Ford,AVON LAKE,OH,44000,650 MILLER ROAD,27046.3,12.75,15.2,low emitter
2020,Ford,Dearborn,MI,48100,2450 Carroll Shelby Way,25656.5,12,14.3,low emitter
2020,Ford,Dearborn,MI,48100,3001 Miller Road,61435.1,29,34.57,high emitter
2020,Ford,Sterling Heights,MI,48300,39000 Mound Road,25140,11.75,14.01,low emitter
2020,General Motors,MILFORD,MI,48300,3300 GENERAL MOTORS RD. MC 483-340-141,25865.4,12.25,14.6,low emitter
2020,General Motors,KANSAS CITY,KS,66100,3201 FAIRFAX TRFCWY.,28794.3,13.5,16.09,low emitter
2020,General Motors,ROANOKE,IN,46700,12200 LAFAYETTE CENTER RD,43884,64.75,127.84,low emitter
2020,General Motors,LANSING,MI,48900,8175 MILLETT HWY,37284.3,17.5,20.86,low emitter
2020,General Motors,BEDFORD,IN,47400,105 GM DRIVE,44388,9030.25,24.73,low emitter
2020,General Motors,SAGINAW,MI,48600,1629 NORTH WASHINGTON AVENUE,25488.7,6208.75,14.3,low emitter
2020,FCA,Belvidere,IL,61000,3000 West Chrysler Drive,53736.8,25.25,30.1,high emitter
2020,FCA,Auburn Hills,MI,48300,800 Chrysler Drive,41684,19.75,23.54,low emitter
2020,FCA,Detroit,MI,48200,4000 St Jean,15161.9,7.25,8.64,low emitter
2020,FCA,DETROIT,MI,48200,2101 CONNER AVENUE,68519.1,32.25,38.44,high emitter
2020,FCA,KOKOMO,IN,46900,1001 E. BOULEVARD,32234.3,15.25,18.18,low emitter
2020,FCA,KOKOMO,IN,46900,2401 S REED RD,17828.7,8.5,10.13,low emitter
2020,FCA,STERLING HTS,MI,48300,38111 VAN DYKE,80156.2,37.75,45,high emitter
2020,FCA,STERLING HTS,MI,48300,7150 METROPOLITAN PARKWAY,564.2,0.25,0.3,low emitter
2020,FCA,STERLING HEIGHTS,MI,48300,35777 VAN DYKE,8569.3,4,4.77,low emitter
2020,FCA,TOLEDO,OH,43600,4400 CHRYSLER DRIVE,71436.7,33.75,40.23,high emitter
2020,FCA,WARREN,MI,48000,22800 MOUND RD.,6335.9,3,3.58,low emitter
2020,FCA,WARREN,MI,48000,21500 MOUND ROAD,67103,31.5,37.55,high emitter
2020,FCA,Warren,MI,48000,21035 Sherwood Avenue,4910.4,2.25,2.68,low emitter
2020,Tesla,Fremont,CA,94500,45500 Fremont Boulevard,28046.5,13.25,15.79,low emitter
2020,GMC,ARLINGTON,TX,76000,2525 EAST ABRAM STREET,50367.6,23.75,28.31,high emitter
2019,Ford,Claycomo,MO,64100,8121 NE Highway 69,82656.9,39,46.49,high emitter
2019,Ford,Louisville,KY,40200,3001 Chamberlain Lane,85020.4,40,47.68,high emitter
2019,Ford,Louisville,KY,40200,2000 Fern Valley Road,60321.4,28.5,33.97,high emitter
2019,Ford,Wayne,MI,48100,38303 Michigan Avenue,73314.5,34.75,41.42,high emitter
2019,Ford,AVON LAKE,OH,44000,650 MILLER ROAD,33141.2,15.5,18.48,low emitter
2019,Ford,Dearborn,MI,48100,2450 Carroll Shelby Way,68171.1,32,38.14,high emitter
2019,Ford,Dearborn,MI,48100,3001 Miller Road,78815.3,37.25,44.4,high emitter
2019,Ford,SHARONVILLE,OH,45200,3000 SHARON ROAD,8372.9,4,5.07,low emitter
2019,Ford,Sterling Heights,MI,48300,39000 Mound Road,31781.6,15,17.88,low emitter
2019,Ford,Chicago,IL,60600,12600 S. Torrence Avenue,56863.3,26.75,31.89,high emitter
2019,Ford,FLAT ROCK,MI,48100,1 INTERNATIONAL DR.,54257.4,25.5,30.4,high emitter
2019,General Motors,MILFORD,MI,48300,3300 GENERAL MOTORS RD. MC 483-340-141,28357.4,13.25,15.79,low emitter
2019,General Motors,KANSAS CITY,KS,66100,3201 FAIRFAX TRFCWY.,31275.1,14.75,17.58,low emitter
2019,General Motors,ROANOKE,IN,46700,12200 LAFAYETTE CENTER RD,53974.7,68.75,131.42,high emitter
2019,General Motors,LANSING,MI,48900,8175 MILLETT HWY,43395.5,20.5,24.44,low emitter
2019,General Motors,BEDFORD,IN,47400,105 GM DRIVE,40678,9397,23.84,low emitter
2019,General Motors,WARREN,OH,44400,2300 HALLOCK YOUNG ROAD,26111.5,12.25,14.6,low emitter
2019,General Motors,DETROIT,MI,48200,2500 EAST GENERAL MOTORS BOULEVARD,50040.3,4.5,5.36,high emitter
2019,General Motors,SAGINAW,MI,48600,1629 NORTH WASHINGTON AVENUE,33285.1,6269.75,18.77,low emitter
2019,General Motors,Lake Orion,MI,48300,4555 Giddings Road,21721.7,34,67.94,low emitter
2019,General Motors,Wentzville,MO,63300,1500 East Route A,86096.2,40.5,48.28,high emitter
2019,General Motors,Spring Hill,TN,37100,100 Saturn Parkway,36217.7,17,20.26,low emitter
2019,FCA,Belvidere,IL,61000,3000 West Chrysler Drive,72054.1,34,40.53,high emitter
