Year,Facility,City ,State ,Zip Code Region,Address,CO2_Emissions,CH4_Emissions,N2O_Emissions
2020, FORD KANSAS CITY ASSEMBLY PLANT,Claycomo,MO,64100,8121 NE Highway 69,0.526981614,0.000285948,0.05914795
2020, FORD KENTUCKY TRUCK PLANT,Louisville,KY,40200,3001 Chamberlain Lane,0.588408029,0.000320539,0.066293662
2020, FORD LOUISVILLE ASSEMBLY PLANT,Louisville,KY,40200,2000 Fern Valley Road,0.364006287,0.000196013,0.040572296
2020, FORD MICHIGAN ASSEMBLY SITE,Wayne,MI,48100,38303 Michigan Avenue,0.443466145,0.000239828,0.050099912
2020, FORD OHIO ASSEMBLY PLANT,AVON LAKE,OH,44000,650 MILLER ROAD,0.213806775,0.000115302,0.023898969
2020, FORD RESEARCH AND ENGINEERING CENTER,Dearborn,MI,48100,2450 Carroll Shelby Way,0.20272877,0.000108384,0.022460235
2020, FORD ROUGE SITE,Dearborn,MI,48100,3001 Miller Road,0.487917657,0.000265194,0.05486372
2020, FORD STERLING PLANT,Sterling Heights,MI,48300,39000 Mound Road,0.198611782,0.000106078,0.021996643
2020,GENERAL MOTORS CORP - MILFORD PROVING GROUND,MILFORD,MI,48300,3300 GENERAL MOTORS RD. MC 483-340-141,0.204393898,0.00011069,0.022939813
2020,GENERAL MOTORS FAIRFAX ASSEMBLY PLANT,KANSAS CITY,KS,66100,3201 FAIRFAX TRFCWY.,0.227739969,0.00012222,0.025321717
2020,GENERAL MOTORS FORT WAYNE ASSEMBLY,ROANOKE,IN,46700,12200 LAFAYETTE CENTER RD,0.348018984,0.000594957,0.203964511
2020,GENERAL MOTORS LANSING DELTA TOWNSHIP,LANSING,MI,48900,8175 MILLETT HWY,0.295413205,0.000159116,0.032947007
2020,GENERAL MOTORS LLC BEDFORD CETC,BEDFORD,IN,47400,105 GM DRIVE,0.352036335,0.083294015,0.039133562
2020,GENERAL MOTORS SAGINAW METAL CASTING OPERATIONS,SAGINAW,MI,48600,1629 NORTH WASHINGTON AVENUE,0.201391247,0.057268095,0.022460235
2020,FCA Belvidere Assembly Plant,Belvidere,IL,61000,3000 West Chrysler Drive,0.42655501,0.000230604,0.047718008
2020,FCA Chrysler Technology Center,Auburn Hills,MI,48300,800 Chrysler Drive,0.330482927,0.000179871,0.037231237
2020,FCA Detroit Assembly Complex - Mack,Detroit,MI,48200,4000 St Jean,0.119076998,6.46E-05,0.013412197
2020,FCA JEFFERSON NORTH ASSEMBLY PLANT,DETROIT,MI,48200,2101 CONNER AVENUE,0.544383759,0.000295173,0.061050276
2020,FCA KOKOMO CASTING PLANT,KOKOMO,IN,46900,1001 E. BOULEVARD,0.255159985,0.000138362,0.028662777
2020,FCA KOKOMO TRANSMISSION PLANT,KOKOMO,IN,46900,2401 S REED RD,0.140333887,7.61E-05,0.015794101
2020,FCA STERLING HEIGHTS ASSEMBLY PLANT,STERLING HTS,MI,48300,38111 VAN DYKE,0.637142324,0.000345905,0.071537047
2020,FCA STERLING HEIGHTS VEHICLE TEST CENTER,STERLING HTS,MI,48300,7150 METROPOLITAN PARKWAY,0.002719683,0,7.99E-05
2020,FCA STERLING STAMPING PLANT,STERLING HEIGHTS,MI,48300,35777 VAN DYKE,0.066527813,3.46E-05,0.007225641
2020,FCA TOLEDO ASSEMBLY COMPLEX,TOLEDO,OH,43600,4400 CHRYSLER DRIVE,0.567639758,0.000309009,0.063911758
2020,FCA WARREN STAMPING PLANT,WARREN,MI,48000,22800 MOUND RD.,0.048725527,2.54E-05,0.005323315
2020,FCA WARREN TRUCK ASSEMBLY PLANT,WARREN,MI,48000,21500 MOUND ROAD,0.533096118,0.000288254,0.059627528
2020,FCA Warren PDC,Warren,MI,48000,21035 Sherwood Avenue,0.03736296,1.84E-05,0.003884582
2020,TeslaInc.,Fremont,CA,94500,45500 Fremont Boulevard,0.221779304,0.000119914,0.024842139
2020,GMC TRUCK GROUP ARLINGTON ASSEMBLY PLANT,ARLINGTON,TX,76000,2525 EAST ABRAM STREET,0.399699336,0.000216767,0.044856526
2019, FORD KANSAS CITY ASSEMBLY PLANT,Claycomo,MO,64100,8121 NE Highway 69,0.657075241,0.000357436,0.073918951
2019, FORD KENTUCKY TRUCK PLANT,Louisville,KY,40200,3001 Chamberlain Lane,0.675914545,0.00036666,0.075821277
2019, FORD LOUISVILLE ASSEMBLY PLANT,Louisville,KY,40200,2000 Fern Valley Road,0.479040427,0.000260582,0.053904564
2019, FORD MICHIGAN ASSEMBLY SITE,Wayne,MI,48100,38303 Michigan Avenue,0.58260758,0.000318233,0.065814084
2019, FORD OHIO ASSEMBLY PLANT,AVON LAKE,OH,44000,650 MILLER ROAD,0.262388825,0.000140668,0.029142355
2019, FORD RESEARCH AND ENGINEERING CENTER,Dearborn,MI,48100,2450 Carroll Shelby Way,0.541609874,0.000292867,0.060570698
2019, FORD ROUGE SITE,Dearborn,MI,48100,3001 Miller Road,0.626454098,0.000341293,0.070577891
2019, FORD SHARONVILLE TRANSMISSION PLANT,SHARONVILLE,OH,45200,3000 SHARON ROAD,0.064962321,3.46E-05,0.007705219
2019, FORD STERLING PLANT,Sterling Heights,MI,48300,39000 Mound Road,0.251551542,0.000136056,0.028183199
2019, Chicago Assembly Plant,Chicago,IL,60600,12600 S. Torrence Avenue,0.451476137,0.00024444,0.05057949
2019, Flat Rock Assembly Plant,FLAT ROCK,MI,48100,1 INTERNATIONAL DR.,0.430704678,0.00023291,0.048197586
2019,GENERAL MOTORS CORP - MILFORD PROVING GROUND,MILFORD,MI,48300,3300 GENERAL MOTORS RD. MC 483-340-141,0.224257468,0.000119914,0.024842139
2019,GENERAL MOTORS FAIRFAX ASSEMBLY PLANT,KANSAS CITY,KS,66100,3201 FAIRFAX TRFCWY.,0.247514264,0.00013375,0.027703621
2019,GENERAL MOTORS FORT WAYNE ASSEMBLY,ROANOKE,IN,46700,12200 LAFAYETTE CENTER RD,0.428451295,0.000631854,0.209687475
2019,GENERAL MOTORS LANSING DELTA TOWNSHIP,LANSING,MI,48900,8175 MILLETT HWY,0.344125182,0.000186789,0.03866997
2019,GENERAL MOTORS LLC BEDFORD CETC,BEDFORD,IN,47400,105 GM DRIVE,0.322464167,0.08667697,0.037710814
2019,GENERAL MOTORS LORDSTOWN COMPLEX EAST,WARREN,OH,44400,2300 HALLOCK YOUNG ROAD,0.206355545,0.00011069,0.022939813
2019,GENERAL MOTORS MLCG DETROIT-HAMTRAMCK ASSEM BLY CENTER,DETROIT,MI,48200,2500 EAST GENERAL MOTORS BOULEVARD,0.397090449,3.92E-05,0.008168811
2019,GENERAL MOTORS SAGINAW METAL CASTING OPERATIONS,SAGINAW,MI,48600,1629 NORTH WASHINGTON AVENUE,0.263535843,0.057830767,0.029605947
2019,General Motors LLC Orion Assembly,Lake Orion,MI,48300,4555 Giddings Road,0.171364736,0.000311315,0.108208776
2019,General Motors LLC Wentzville,Wentzville,MO,63300,1500 East Route A,0.684489677,0.000371272,0.076780433
2019,General Motors Spring Hill Manufacturing,Spring Hill,TN,37100,100 Saturn Parkway,0.286911406,0.000154504,0.031987851
2019,FCA Belvidere Assembly Plant,Belvidere,IL,61000,3000 West Chrysler Drive,0.572561014,0.000311315,0.064391336
2019,FCA Chrysler Technology Center,Auburn Hills,MI,48300,800 Chrysler Drive,0.38124184,0.000207543,0.0429542
2019,FCA Detroit Assembly Complex - Mack,Detroit,MI,48200,4000 St Jean,0.018718943,9.22E-06,0.001982256
2019,FCA JEFFERSON NORTH ASSEMBLY PLANT,DETROIT,MI,48200,2101 CONNER AVENUE,0.639801428,0.000348211,0.072016625
2019,FCA KOKOMO CASTING PLANT,KOKOMO,IN,46900,1001 E. BOULEVARD,0.272810823,0.000147586,0.030565103
2019,FCA KOKOMO TRANSMISSION PLANT,KOKOMO,IN,46900,2401 S REED RD,0.160771363,8.53E-05,0.017696427
2019,FCA STERLING HEIGHTS ASSEMBLY PLANT,STERLING HTS,MI,48300,38111 VAN DYKE,0.768054566,0.000417392,0.086308049
2019,FCA STERLING HEIGHTS VEHICLE TEST CENTER,STERLING HEIGHTS,MI,48300,7150 METROPOLITAN PARKWAY,0.001445928,0,7.99E-05
2019,FCA STERLING STAMPING PLANT,STERLING HEIGHTS,MI,48300,35777 VAN DYKE,0.071663486,3.69E-05,0.007705219
2019,FCA TOLEDO ASSEMBLY COMPLEX,TOLEDO,OH,43600,4400 CHRYSLER DRIVE,0.689545641,0.000373578,0.077244025
2019,FCA WARREN STAMPING PLANT,WARREN,MI,48000,22800 MOUND RD.,0.047549017,2.54E-05,0.005323315
2019,FCA WARREN TRUCK ASSEMBLY PLANT,WARREN,MI,48000,21500 MOUND ROAD,0.67612179,0.00036666,0.075821277
2019,FCA Warren PDC,Warren,MI,48000,21035 Sherwood Avenue,0.044788683,2.31E-05,0.004843738
2019,TeslaInc.,Fremont,CA,94500,45500 Fremont Boulevard,0.186246471,9.92E-05,0.020557909
2019,GMC TRUCK GROUP ARLINGTON ASSEMBLY PLANT,ARLINGTON,TX,76000,2525 EAST ABRAM STREET,0.360859362,0.000196013,0.040572296
2018, FORD KANSAS CITY ASSEMBLY PLANT,Claycomo,MO,64100,8121 NE Highway 69,0.709972755,0.000385108,0.079625929
2018, FORD KENTUCKY TRUCK PLANT,Louisville,KY,40200,3001 Chamberlain Lane,0.712991348,0.000387414,0.080105507
2018, FORD LIVONIA SITE,Livonia,MI,48100,36200 Plymouth Road,0.0984259,5.30E-05,0.011030293
2018, FORD LOUISVILLE ASSEMBLY PLANT,Louisville,KY,40200,2000 Fern Valley Road,0.512640308,0.00027903,0.057725202
2018, FORD MICHIGAN ASSEMBLY SITE,Wayne,MI,48100,38303 Michigan Avenue,0.512979073,0.00027903,0.057725202
2018, FORD OHIO ASSEMBLY PLANT,AVON LAKE,OH,44000,650 MILLER ROAD,0.266611827,0.000142974,0.029605947
2018, FORD RESEARCH AND ENGINEERING CENTER,Dearborn,MI,48100,2450 Carroll Shelby Way,0.559655273,0.000304397,0.062952602
2018, FORD ROUGE SITE,Dearborn,MI,48100,3001 Miller Road,0.64741925,0.000350517,0.072480217
2018, FORD SHARONVILLE TRANSMISSION PLANT,SHARONVILLE,OH,45200,3000 SHARON ROAD,0.07213696,3.69E-05,0.007705219
