Facility,CO2_Emissions
 Chicago Assembly Plant,522511.02
 FORD CLEVELAND SITE,137567.16
 FORD KANSAS CITY ASSEMBLY PLANT,929400.26
 FORD KENTUCKY TRUCK PLANT,895088.03
 FORD LIVONIA SITE,211794.66
 FORD LOUISVILLE ASSEMBLY PLANT,581722.13
 FORD MICHIGAN ASSEMBLY SITE,689239.7
 FORD OHIO ASSEMBLY PLANT,454503.41
 FORD RESEARCH AND ENGINEERING CENTER,757723.24
 FORD ROUGE SITE,753840.83
 FORD SHARONVILLE TRANSMISSION PLANT,190429.54
 FORD STERLING PLANT,446400.23
 Flat Rock Assembly Plant,560577.98
 TWIN CITIES ASSEMBLY PLANT,71079.92
FCA Belvidere Assembly Plant,823166.72
FCA Chrysler Technology Center,506047.76
FCA Detroit Assembly Complex - Mack,17733.3
FCA JEFFERSON NORTH ASSEMBLY PLANT,843650.51
FCA KOKOMO CASTING PLANT,301055.91
FCA KOKOMO TRANSMISSION PLANT,312103.07
FCA STERLING HEIGHTS ASSEMBLY PLANT,756639.16
FCA STERLING HEIGHTS VEHICLE TEST CENTER,4496.75
FCA STERLING STAMPING PLANT,110867.70999999999
FCA TOLEDO ASSEMBLY COMPLEX,869630.39
FCA WARREN STAMPING PLANT,64512.72
FCA WARREN TRUCK ASSEMBLY PLANT,1050338.39
FCA Warren PDC,61024.38
GENERAL MOTORS CORP - MILFORD PROVING GROUND,265547.3
GENERAL MOTORS FAIRFAX ASSEMBLY PLANT,472120.8
GENERAL MOTORS FORT WAYNE ASSEMBLY,658092.0
GENERAL MOTORS LANSING DELTA TOWNSHIP,479134.3
GENERAL MOTORS LLC BEDFORD CETC,403735.8
GENERAL MOTORS LORDSTOWN COMPLEX EAST,609086.0
GENERAL MOTORS MLCG DETROIT-HAMTRAMCK ASSEM BLY CENTER,466886.2
GENERAL MOTORS SAGINAW METAL CASTING OPERATIONS,408444.0
GMC TRUCK GROUP ARLINGTON ASSEMBLY PLANT,541145.3
General Motors Components Holdings LLC,24888.1
General Motors LLC Orion Assembly,93814.2
General Motors LLC Wentzville,596532.48
General Motors Spring Hill Manufacturing,113827.6
TeslaInc.,235049.0
